He,4 min,4 min 3e,6 min,6 min 3e,8.5 min,8.5 min 3e,12 min,12 min 3e,17 min,17 min 3e,24 min,24 min 3e
0,0.1,0.1,0.1,0.1,0.11,0.12,0.12,0.12,0.12,0.13,0.14,0.15
0.15,0.1,0.11,0.1,0.11,0.11,0.13,0.13,0.15,0.13,0.15,0.14,0.17
0.3,0.1,0.13,0.1,0.14,0.12,0.17,0.13,0.19,0.13,0.2,0.15,0.23
0.45,0.1,0.15,0.11,0.17,0.13,0.21,0.14,0.26,0.15,0.27,0.17,0.3
0.6,0.12,0.18,0.12,0.22,0.15,0.29,0.17,0.34,0.18,0.39,0.2,0.42
0.75,0.14,0.24,0.15,0.3,0.19,0.39,0.22,0.47,0.24,0.54,0.27,0.59
0.9,0.17,0.31,0.19,0.38,0.25,0.5,0.3,0.59,0.35,0.71,0.37,0.79
1.05,0.23,0.38,0.26,0.48,0.35,0.61,0.42,0.75,0.49,0.88,0.56,1.03
1.2,0.29,0.46,0.35,0.57,0.45,0.72,0.54,0.89,0.66,1.06,0.75,1.26
1.35,0.35,0.54,0.42,0.65,0.55,0.83,0.66,1,0.81,1.21,0.93,1.47
1.5,0.41,0.6,0.49,0.74,0.65,0.93,0.78,1.11,0.96,1.34,1.14,1.65
1.65,0.48,0.67,0.57,0.8,0.73,1.02,0.89,1.22,1.09,1.45,1.3,1.81
1.8,0.56,0.74,0.64,0.89,0.83,1.11,1,1.33,1.23,1.6,1.48,1.98
1.95,0.61,0.8,0.71,0.96,0.92,1.2,1.12,1.43,1.35,1.71,1.63,2.13
2.1,0.68,0.86,0.8,1.03,1.01,1.29,1.23,1.54,1.47,1.83,1.78,2.27
2.25,0.75,0.93,0.89,1.11,1.12,1.4,1.34,1.66,1.6,1.97,1.96,2.42
2.4,0.82,0.99,0.97,1.19,1.21,1.48,1.45,1.77,1.75,2.09,2.11,2.57
2.55,0.87,1.06,1.06,1.27,1.32,1.58,1.57,1.88,1.9,2.23,2.27,2.73
2.7,0.96,1.12,1.16,1.35,1.44,1.68,1.73,2.01,2.05,2.38,2.45,2.91
2.85,1.03,1.19,1.24,1.4,1.52,1.77,1.83,2.11,2.15,2.5,2.58,3.05
3,1.08,1.24,1.29,1.46,1.56,1.83,1.88,2.19,2.25,2.59,2.67,3.11
