ID,TabletDens,K minus1,K 0,K 0.5,K 1,K 1.5,K 2,K 2.5,K 3,K 3.5,K 4,K 4.5,K 5,K 5plus
1,0.04,2.2,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
2,0.16,2.2,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
3,0.25,2.2,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
4,0.36,2.2,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
5,0.46,2.18,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
6,0.56,2.12,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
7,0.66,1.94,2.21,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
8,0.75,1.84,2.17,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
9,0.85,1.74,2.16,2.22,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
10,0.95,1.69,1.98,2.2,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
11,1.05,1.65,1.83,2.15,2.22,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
12,1.14,1.61,1.7,1.97,2.08,2.22,2.23,2.23,2.23,2.22,2.22,2.22,2.22,2.22
13,1.25,1.53,1.61,1.74,2.04,2.16,2.23,2.23,2.22,2.22,2.22,2.22,2.22,2.19
14,1.34,1.43,1.5,1.56,1.77,1.99,2.16,2.18,2.2,2.19,2.2,2.22,2.2,2.17
15,1.44,1.31,1.35,1.39,1.53,1.65,1.94,1.98,2.07,2.04,2.12,2.15,2.11,2.14
16.1,1.53,1.14,1.16,1.2,1.3,1.36,1.52,1.54,1.64,1.52,1.68,1.72,1.6,1.77
16.2,1.51,1.19,1.23,1.24,1.34,1.43,1.63,1.65,1.74,1.71,1.85,1.91,1.8,1.91
17,1.61,1.08,1.11,1.11,1.19,1.24,1.36,1.34,1.39,1.29,1.38,1.43,1.29,1.41
18,1.69,0.94,0.98,0.98,1.04,1.08,1.14,1.09,1.1,0.94,0.99,0.97,0.85,0.93
19,1.81,0.78,0.79,0.76,0.81,0.83,0.87,0.79,0.75,0.58,0.55,0.49,0.38,0.43
20,1.91,0.62,0.62,0.59,0.62,0.64,0.66,0.55,0.52,0.35,0.3,0.23,0.15,0.19
21,2.02,0.45,0.44,0.4,0.44,0.43,0.44,0.34,0.31,0.16,0.12,0.01,0.04,0.05
22,2.13,0.29,0.28,0.25,0.28,0.26,0.26,0.19,0.15,0.05,0.04,0,0.01,0.01
23,2.22,0.18,0.17,0.14,0.17,0.15,0.15,0.1,0.07,0.01,0.01,0,0,0
24,2.33,0.08,0.08,0.05,0.06,0.07,0.05,0.03,0.02,0,0,0,0,0
25,2.43,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0,0,0,0,0
26,2.53,0.01,0.02,0,0,0.02,0.01,0.01,0.01,0,0,0,0,0
27,2.63,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0
28,2.72,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
29,2.83,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
30,2.94,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
31,3.03,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
